Cordobés porque me la complicaste con el coseno :(;0
"Solo son 2 con mis amigos y 5 con vos sentite importante :)&lt;3";1
Tengo fiebre :(;0
@sooooyderiver dame bola :(;0
Chicas no se desanimen :) pronto las chicas las seguiran solo es cuestión de tiempo-Lesly #WorthItVMA;1
@fbaradit Gracias :);1
Quiero bailar salsa :(;0
Metal Gear. :(;0
Es la primera vez que me vale tanto una entrega :(;0
Mi vieja no me fuma más con la guitarra :((;0
ella en colombia yo en venezuela . Pero pa ' lante . :(;0
@ElDiablitoShow #RetoPMTelehit  #JonasTelehitGuitarraPM Sólo nick y Joe :(;0
@xcdaza tistraño :(;0
@Eclectica_91 en qué sentido? :(;0
@homomatriarcado si es que si los pones tú no pueden ser feos :(;0
Oye, escuchar mis canciones favoritas sin ti es como simple :( @EmeDeMoni_;0
Existe Alguna Chica Que Conteste Rapido? :3 :(;0
Este dm, me dice la verdad :(;0
Xq me pasan Harry Potter y el Prisionero de Azkaban cuando tengo q irme a dormir? :(.forros;0
NO DEJEN DE VOTAR APARNTEMENTE ESTAMOS PERDIENDO :( ..#VOTEFOR1D..#MTVHottest One Direction http://t.co/Sua9VbsFNW;0
Tengo miedo :(;0
Si mrc :( jaja  https://t.co/tMI5dcCydB;0
@rutiivzz Noo :( de mi amiga.;0
@JeAraaujoo espero q n :(;0
Foto: percepcion-distorsionada: Necesito que sea rápido :( http://t.co/MnQmreaXX0;0
@__Jerson ay embuste :( deja ver;0
Me dejó sin palabras como siempre :(((.;0
@Alexander_RG Hay q ver la orilla dorada d la nube. Al subir el desempleo los q pierdan el brete ya no van a pagar impuestos s/renta :(;0
#LasMilyUnaNoches ..Kerem: Me acabo de divorciar :(. .Onur: Te divorciaste?? Bienvenido al club!!! Vamos a cagarla en las cucardas! 😂😈;0
Solo he dormido 3 horas las ultimas 24 horas :((((;0
Quiero quesadillas con chocomilk :(;0
Que friiifrii :-(;0
@_aliviand0nos ya no te quiero, lo siento :( me odias :(;0
Pink Floyd se retira. . . .En serio, que putisima vida :(;0
Recuérdamee. ... Pablo alboran...  :(;0
